occ_code,occ_title
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
51-2051,Fiberglass Laminators and Fabricators
35-9000,Other Food Preparation and Serving Related Workers
49-3041,Farm Equipment Mechanics and Service Technicians
15-1241,Computer Network Architects
17-3013,Mechanical Drafters
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers"
11-3130,Training and Development Managers
31-1132,Orderlies
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists"
29-1140,Registered Nurses
53-7051,Industrial Truck and Tractor Operators
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
49-9098,"Helpers--Installation, Maintenance, and Repair Workers"
39-5094,Skincare Specialists
31-9093,Medical Equipment Preparers
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
53-7050,Industrial Truck and Tractor Operators
53-5010,Sailors and Marine Oilers
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
51-9162,Computer Numerically Controlled Tool Programmers
53-6050,Transportation Inspectors
19-3091,Anthropologists and Archeologists
41-3021,Insurance Sales Agents
19-1012,Food Scientists and Technologists
21-1019,"Counselors, All Other"
25-1065,"Political Science Teachers, Postsecondary"
15-2021,Mathematicians
25-1066,"Psychology Teachers, Postsecondary"
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
17-3026,Industrial Engineering Technologists and Technicians
47-2170,Reinforcing Iron and Rebar Workers
53-5030,Ship Engineers
21-1023,Mental Health and Substance Abuse Social Workers
25-4013,Museum Technicians and Conservators
27-4021,Photographers
17-2140,Mechanical Engineers
25-4011,Archivists
11-1021,General and Operations Managers
17-0000,Architecture and Engineering Occupations
17-3012,Electrical and Electronics Drafters
53-7064,"Packers and Packagers, Hand"
27-1027,Set and Exhibit Designers
11-9080,Lodging Managers
49-9020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
29-9092,Genetic Counselors
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
13-1161,Market Research Analysts and Marketing Specialists
15-2020,Mathematicians
17-3023,Electrical and Electronic Engineering Technologists and Technicians
51-2090,Miscellaneous Assemblers and Fabricators
15-2031,Operations Research Analysts
33-3030,Fish and Game Wardens
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers"
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
11-9039,"Education Administrators, All Other"
25-4022,Librarians and Media Collections Specialists
45-2041,"Graders and Sorters, Agricultural Products"
49-9045,"Refractory Materials Repairers, Except Brickmasons"
29-1080,Podiatrists
47-2020,"Brickmasons, Blockmasons, and Stonemasons"
53-6010,Bridge and Lock Tenders
51-9160,Computer Numerically Controlled Tool Operators and Programmers
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
39-9031,Exercise Trainers and Group Fitness Instructors
47-2110,Electricians
17-2050,Civil Engineers
43-3021,Billing and Posting Clerks
53-7071,Gas Compressor and Gas Pumping Station Operators
13-1110,Management Analysts
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
49-2091,Avionics Technicians
43-9060,"Office Clerks, General"
25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
41-9011,Demonstrators and Product Promoters
25-1030,"Engineering and Architecture Teachers, Postsecondary"
27-4032,Film and Video Editors
41-9090,Miscellaneous Sales and Related Workers
53-0000,Transportation and Material Moving Occupations
11-3010,Administrative Services and Facilities Managers
51-8012,Power Distributors and Dispatchers
51-4111,Tool and Die Makers
27-3042,Technical Writers
49-2097,Audiovisual Equipment Installers and Repairers
37-2012,Maids and Housekeeping Cleaners
00-0000,All Occupations
53-7000,Material Moving Workers
33-9010,Animal Control Workers
11-1000,Top Executives
33-9090,Miscellaneous Protective Service Workers
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers"
51-3010,Bakers
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers
37-3019,"Grounds Maintenance Workers, All Other"
53-7011,Conveyor Operators and Tenders
51-2040,Structural Metal Fabricators and Fitters
17-2072,"Electronics Engineers, Except Computer"
39-9040,Residential Advisors
53-3000,Motor Vehicle Operators
25-1125,"History Teachers, Postsecondary"
17-2131,Materials Engineers
51-9198,Helpers--Production Workers
43-5051,Postal Service Clerks
19-1011,Animal Scientists
33-9091,Crossing Guards and Flaggers
53-7065,Stockers and Order Fillers
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
25-1192,"Family and Consumer Sciences Teachers, Postsecondary"
29-2092,Hearing Aid Specialists
19-2099,"Physical Scientists, All Other"
43-5041,"Meter Readers, Utilities"
33-3051,Police and Sheriff's Patrol Officers
51-7090,Miscellaneous Woodworkers
51-3090,Miscellaneous Food Processing Workers
25-9045,"Teaching Assistants, Except Postsecondary"
29-1023,Orthodontists
29-9000,Other Healthcare Practitioners and Technical Occupations
21-2010,Clergy
19-3099,"Social Scientists and Related Workers, All Other"
25-2012,"Kindergarten Teachers, Except Special Education"
47-2030,Carpenters
47-2132,"Insulation Workers, Mechanical"
47-3016,Helpers--Roofers
43-9110,Statistical Assistants
33-3020,Detectives and Criminal Investigators
29-1020,Dentists
29-1040,Optometrists
53-7061,Cleaners of Vehicles and Equipment
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers
29-1170,Nurse Practitioners
53-3099,"Motor Vehicle Operators, All Other"
33-3010,"Bailiffs, Correctional Officers, and Jailers"
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
19-2000,Physical Scientists
25-1112,"Law Teachers, Postsecondary"
43-4011,Brokerage Clerks
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists
15-2011,Actuaries
21-2021,"Directors, Religious Activities and Education"
23-2011,Paralegals and Legal Assistants
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters"
51-9194,Etchers and Engravers
25-2032,"Career/Technical Education Teachers, Secondary School"
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers
25-1072,"Nursing Instructors and Teachers, Postsecondary"
25-9090,Miscellaneous Educational Instruction and Library Workers
39-4021,Funeral Attendants
27-1000,Art and Design Workers
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
53-1000,Supervisors of Transportation and Material Moving Workers
31-2010,Occupational Therapy Assistants and Aides
39-6010,"Baggage Porters, Bellhops, and Concierges"
53-3032,Heavy and Tractor-Trailer Truck Drivers
43-4031,"Court, Municipal, and License Clerks"
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
19-5010,Occupational Health and Safety Specialists and Technicians
53-6041,Traffic Technicians
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
31-9096,Veterinary Assistants and Laboratory Animal Caretakers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers"
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
13-2052,Personal Financial Advisors
47-5071,"Roustabouts, Oil and Gas"
43-3061,Procurement Clerks
43-9000,Other Office and Administrative Support Workers
17-3031,Surveying and Mapping Technicians
11-2021,Marketing Managers
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners
45-2091,Agricultural Equipment Operators
19-2041,"Environmental Scientists and Specialists, Including Health"
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
35-1012,First-Line Supervisors of Food Preparation and Serving Workers
43-3030,"Bookkeeping, Accounting, and Auditing Clerks"
13-1150,Training and Development Specialists
31-9011,Massage Therapists
51-2010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
33-3011,Bailiffs
19-4021,Biological Technicians
25-9000,Other Educational Instruction and Library Occupations
47-4021,Elevator and Escalator Installers and Repairers
29-2055,Surgical Technologists
43-6000,Secretaries and Administrative Assistants
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors"
53-4010,Locomotive Engineers and Operators
19-1030,Conservation Scientists and Foresters
11-9151,Social and Community Service Managers
19-3000,Social Scientists and Related Workers
49-9000,"Other Installation, Maintenance, and Repair Occupations"
53-3050,Passenger Vehicle Drivers
41-9010,"Models, Demonstrators, and Product Promoters"
51-2020,"Electrical, Electronics, and Electromechanical Assemblers"
17-2112,Industrial Engineers
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
13-1151,Training and Development Specialists
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
39-9041,Residential Advisors
45-2099,"Agricultural Workers, All Other"
47-2171,Reinforcing Iron and Rebar Workers
25-1082,"Library Science Teachers, Postsecondary"
43-4071,File Clerks
51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
27-4011,Audio and Video Technicians
43-2010,"Switchboard Operators, Including Answering Service"
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
47-5097,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters"
25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
33-3040,Parking Enforcement Workers
41-4000,"Sales Representatives, Wholesale and Manufacturing"
43-4151,Order Clerks
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
33-3031,Fish and Game Wardens
47-2181,Roofers
13-1141,"Compensation, Benefits, and Job Analysis Specialists"
21-1092,Probation Officers and Correctional Treatment Specialists
21-1091,Health Education Specialists
15-1240,Database and Network Administrators and Architects
41-1011,First-Line Supervisors of Retail Sales Workers
17-2021,Agricultural Engineers
23-2010,Paralegals and Legal Assistants
13-1130,Fundraisers
15-2030,Operations Research Analysts
19-3094,Political Scientists
45-2090,Miscellaneous Agricultural Workers
19-1000,Life Scientists
11-9021,Construction Managers
25-9021,Farm and Home Management Educators
29-1180,Audiologists
11-2011,Advertising and Promotions Managers
43-9020,Data Entry and Information Processing Workers
51-4000,Metal Workers and Plastic Workers
43-5052,Postal Service Mail Carriers
43-3041,Gambling Cage Workers
43-4020,Correspondence Clerks
39-7000,Tour and Travel Guides
25-1000,Postsecondary Teachers
43-2011,"Switchboard Operators, Including Answering Service"
49-3011,Aircraft Mechanics and Service Technicians
15-1200,Computer Occupations
47-4070,Septic Tank Servicers and Sewer Pipe Cleaners
11-9150,Social and Community Service Managers
21-1029,"Social Workers, All Other"
29-2057,Ophthalmic Medical Technicians
47-2120,Glaziers
17-2060,Computer Hardware Engineers
25-1032,"Engineering Teachers, Postsecondary"
49-9052,Telecommunications Line Installers and Repairers
19-3039,"Psychologists, All Other"
33-1000,Supervisors of Protective Service Workers
45-4022,Logging Equipment Operators
51-9161,Computer Numerically Controlled Tool Operators
17-2000,Engineers
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-4012,Curators
49-3092,Recreational Vehicle Service Technicians
49-3051,Motorboat Mechanics and Service Technicians
15-1232,Computer User Support Specialists
25-1061,"Anthropology and Archeology Teachers, Postsecondary"
39-9030,Recreation and Fitness Workers
41-2011,Cashiers
49-9071,"Maintenance and Repair Workers, General"
27-1023,Floral Designers
47-5043,"Roof Bolters, Mining"
19-0000,"Life, Physical, and Social Science Occupations"
27-3043,Writers and Authors
19-2031,Chemists
43-4120,"Library Assistants, Clerical"
27-2032,Choreographers
39-3012,Gambling and Sports Book Writers and Runners
43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service"
11-9041,Architectural and Engineering Managers
25-3020,Self-Enrichment Teachers
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers"
47-2071,"Paving, Surfacing, and Tamping Equipment Operators"
49-2092,"Electric Motor, Power Tool, and Related Repairers"
11-3060,Purchasing Managers
11-9000,Other Management Occupations
19-4071,Forest and Conservation Technicians
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
51-9031,"Cutters and Trimmers, Hand"
13-2072,Loan Officers
43-4130,Loan Interviewers and Clerks
47-2000,Construction Trades Workers
47-5098,"Underground Mining Machine Operators and Extraction Workers, All Other"
11-9171,Funeral Home Managers
51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
25-2059,"Special Education Teachers, All Other"
31-9092,Medical Assistants
11-3050,Industrial Production Managers
49-9097,Signal and Track Switch Repairers
19-3022,Survey Researchers
53-7041,Hoist and Winch Operators
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
49-3052,Motorcycle Mechanics
53-4031,Railroad Conductors and Yardmasters
27-4020,Photographers
51-8020,Stationary Engineers and Boiler Operators
29-2051,Dietetic Technicians
11-9010,"Farmers, Ranchers, and Other Agricultural Managers"
27-1020,Designers
53-4030,Railroad Conductors and Yardmasters
23-1020,"Judges, Magistrates, and Other Judicial Workers"
35-2013,"Cooks, Private Household"
47-4030,Fence Erectors
51-4121,"Welders, Cutters, Solderers, and Brazers"
11-9030,Education and Childcare Administrators
25-1071,"Health Specialties Teachers, Postsecondary"
43-4121,"Library Assistants, Clerical"
27-3000,Media and Communication Workers
29-1081,Podiatrists
31-9099,"Healthcare Support Workers, All Other"
29-2031,Cardiovascular Technologists and Technicians
11-9081,Lodging Managers
17-2081,Environmental Engineers
51-9141,Semiconductor Processing Technicians
25-2057,"Special Education Teachers, Middle School"
41-9040,Telemarketers
15-1250,"Software and Web Developers, Programmers, and Testers"
51-9110,Packaging and Filling Machine Operators and Tenders
49-9092,Commercial Divers
27-2010,"Actors, Producers, and Directors"
45-2021,Animal Breeders
25-9099,"Educational Instruction and Library Workers, All Other"
25-1067,"Sociology Teachers, Postsecondary"
27-3010,Broadcast Announcers and Radio Disc Jockeys
25-1121,"Art, Drama, and Music Teachers, Postsecondary"
43-1011,First-Line Supervisors of Office and Administrative Support Workers
51-3000,Food Processing Workers
29-1131,Veterinarians
25-3097,"Tutors and Teachers and Instructors, All Other"
11-9140,"Property, Real Estate, and Community Association Managers"
17-2121,Marine Engineers and Naval Architects
49-2010,"Computer, Automated Teller, and Office Machine Repairers"
11-9110,Medical and Health Services Managers
37-2020,Pest Control Workers
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
25-3031,"Substitute Teachers, Short-Term"
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations"
47-2044,Tile and Stone Setters
47-4040,Hazardous Materials Removal Workers
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers"
11-9161,Emergency Management Directors
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
11-9131,Postmasters and Mail Superintendents
53-7063,Machine Feeders and Offbearers
29-1041,Optometrists
51-2050,Fiberglass Laminators and Fabricators
11-9071,Gambling Managers
11-1011,Chief Executives
33-2022,Forest Fire Inspectors and Prevention Specialists
15-1256,Software Developers and Software Quality Assurance Analysts and Testers
45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
49-9044,Millwrights
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
45-4020,Logging Workers
19-4051,Nuclear Technicians
51-8031,Water and Wastewater Treatment Plant and System Operators
53-5020,Ship and Boat Captains and Operators
17-3011,Architectural and Civil Drafters
27-4012,Broadcast Technicians
29-1160,Nurse Midwives
49-9050,Line Installers and Repairers
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
11-3071,"Transportation, Storage, and Distribution Managers"
29-2053,Psychiatric Technicians
13-1041,Compliance Officers
11-9120,Natural Sciences Managers
29-1021,"Dentists, General"
31-1131,Nursing Assistants
51-4060,"Model Makers and Patternmakers, Metal and Plastic"
25-1053,"Environmental Science Teachers, Postsecondary"
41-3020,Insurance Sales Agents
43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
35-2010,Cooks
53-4041,Subway and Streetcar Operators
25-1113,"Social Work Teachers, Postsecondary"
53-3090,Miscellaneous Motor Vehicle Operators
33-9030,Security Guards and Gambling Surveillance Officers
43-4051,Customer Service Representatives
15-1244,Network and Computer Systems Administrators
23-1010,Lawyers and Judicial Law Clerks
33-9031,Gambling Surveillance Officers and Gambling Investigators
39-2010,Animal Trainers
49-3043,Rail Car Repairers
39-1013,First-Line Supervisors of Gambling Services Workers
51-6042,Shoe Machine Operators and Tenders
29-2000,Health Technologists and Technicians
53-6031,Automotive and Watercraft Service Attendants
11-3000,Operations Specialties Managers
41-3031,"Securities, Commodities, and Financial Services Sales Agents"
53-2000,Air Transportation Workers
33-1020,First-Line Supervisors of Firefighting and Prevention Workers
41-2022,Parts Salespersons
43-4040,"Credit Authorizers, Checkers, and Clerks"
51-9199,"Production Workers, All Other"
47-3010,"Helpers, Construction Trades"
51-9151,Photographic Process Workers and Processing Machine Operators
27-2000,"Entertainers and Performers, Sports and Related Workers"
35-1011,Chefs and Head Cooks
49-2098,Security and Fire Alarm Systems Installers
43-4131,Loan Interviewers and Clerks
29-1292,Dental Hygienists
49-3050,Small Engine Mechanics
29-2080,"Opticians, Dispensing"
31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
35-2015,"Cooks, Short Order"
39-5091,"Makeup Artists, Theatrical and Performance"
51-9190,Miscellaneous Production Workers
17-1000,"Architects, Surveyors, and Cartographers"
29-2061,Licensed Practical and Licensed Vocational Nurses
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
43-2099,"Communications Equipment Operators, All Other"
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas"
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
49-9096,Riggers
29-1216,General Internal Medicine Physicians
47-2031,Carpenters
49-9060,Precision Instrument and Equipment Repairers
51-7010,Cabinetmakers and Bench Carpenters
19-1090,Miscellaneous Life Scientists
21-2020,"Directors, Religious Activities and Education"
45-4011,Forest and Conservation Workers
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-6052,"Tailors, Dressmakers, and Custom Sewers"
53-2031,Flight Attendants
35-3030,Waiters and Waitresses
51-2000,Assemblers and Fabricators
51-4192,"Layout Workers, Metal and Plastic"
27-3041,Editors
25-1031,"Architecture Teachers, Postsecondary"
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
51-9081,Dental Laboratory Technicians
29-1221,"Pediatricians, General"
49-9030,Home Appliance Repairers
25-9020,Farm and Home Management Educators
47-2051,Cement Masons and Concrete Finishers
13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other"
47-4061,Rail-Track Laying and Maintenance Equipment Operators
43-5071,"Shipping, Receiving, and Inventory Clerks"
53-7020,Crane and Tower Operators
29-1071,Physician Assistants
31-9000,Other Healthcare Support Occupations
39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services"
47-2210,Sheet Metal Workers
37-2019,"Building Cleaning Workers, All Other"
47-2151,Pipelayers
49-3091,Bicycle Repairers
25-1011,"Business Teachers, Postsecondary"
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants"
37-3013,Tree Trimmers and Pruners
39-2011,Animal Trainers
17-2070,Electrical and Electronics Engineers
41-3041,Travel Agents
11-9141,"Property, Real Estate, and Community Association Managers"
39-4031,"Morticians, Undertakers, and Funeral Arrangers"
43-9041,Insurance Claims and Policy Processing Clerks
45-2020,Animal Breeders
51-9030,Cutting Workers
33-3041,Parking Enforcement Workers
53-2021,Air Traffic Controllers
39-4020,Funeral Attendants
45-0000,"Farming, Fishing, and Forestry Occupations"
53-2012,Commercial Pilots
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides
51-2061,Timing Device Assemblers and Adjusters
29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other"
21-2011,Clergy
25-1040,"Life Sciences Teachers, Postsecondary"
49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers"
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
13-1081,Logisticians
29-1070,Physician Assistants
53-3010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
25-1041,"Agricultural Sciences Teachers, Postsecondary"
53-4040,Subway and Streetcar Operators
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians"
25-1052,"Chemistry Teachers, Postsecondary"
11-3131,Training and Development Managers
51-8010,"Power Plant Operators, Distributors, and Dispatchers"
51-9083,Ophthalmic Laboratory Technicians
19-1032,Foresters
33-9098,"School Bus Monitors and Protective Service Workers, All Other"
43-4041,"Credit Authorizers, Checkers, and Clerks"
43-5070,"Shipping, Receiving, and Inventory Clerks"
31-9094,Medical Transcriptionists
51-6051,"Sewers, Hand"
29-1011,Chiropractors
47-5044,"Loading and Moving Machine Operators, Underground Mining"
53-7073,Wellhead Pumpers
39-0000,Personal Care and Service Occupations
53-4000,Rail Transportation Workers
51-5100,Printing Workers
51-9022,"Grinding and Polishing Workers, Hand"
17-1010,"Architects, Except Naval"
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
27-1024,Graphic Designers
29-1124,Radiation Therapists
41-9031,Sales Engineers
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners
49-0000,"Installation, Maintenance, and Repair Occupations"
11-9121,Natural Sciences Managers
47-3012,Helpers--Carpenters
27-3091,Interpreters and Translators
13-1121,"Meeting, Convention, and Event Planners"
41-9022,Real Estate Sales Agents
47-3019,"Helpers, Construction Trades, All Other"
19-1022,Microbiologists
21-1012,"Educational, Guidance, and Career Counselors and Advisors"
51-4061,"Model Makers, Metal and Plastic"
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
47-3000,"Helpers, Construction Trades"
41-3000,"Sales Representatives, Services"
47-2130,Insulation Workers
51-6040,Shoe and Leather Workers
35-3010,Bartenders
51-3093,Food Cooking Machine Operators and Tenders
39-5011,Barbers
15-2010,Actuaries
35-9020,Dishwashers
47-5013,"Service Unit Operators, Oil and Gas"
51-6010,Laundry and Dry-Cleaning Workers
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics
51-8013,Power Plant Operators
19-5012,Occupational Health and Safety Technicians
25-2050,Special Education Teachers
39-3011,Gambling Dealers
47-4011,Construction and Building Inspectors
17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other"
47-4051,Highway Maintenance Workers
51-6092,Fabric and Apparel Patternmakers
51-9050,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
53-4099,"Rail Transportation Workers, All Other"
25-1122,"Communications Teachers, Postsecondary"
43-4000,Information and Record Clerks
25-2020,Elementary and Middle School Teachers
11-1020,General and Operations Managers
13-2081,"Tax Examiners and Collectors, and Revenue Agents"
19-1023,Zoologists and Wildlife Biologists
43-9111,Statistical Assistants
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
43-4030,"Court, Municipal, and License Clerks"
17-2199,"Engineers, All Other"
43-4110,"Interviewers, Except Eligibility and Loan"
43-9080,Proofreaders and Copy Markers
39-3091,Amusement and Recreation Attendants
51-7031,"Model Makers, Wood"
51-8090,Miscellaneous Plant and System Operators
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
25-4031,Library Technicians
13-2020,Property Appraisers and Assessors
29-1125,Recreational Therapists
43-3070,Tellers
45-4000,"Forest, Conservation, and Logging Workers"
43-9190,Miscellaneous Office and Administrative Support Workers
13-1075,Labor Relations Specialists
43-4140,New Accounts Clerks
45-4029,"Logging Workers, All Other"
17-2080,Environmental Engineers
33-9032,Security Guards
47-5011,"Derrick Operators, Oil and Gas"
17-1021,Cartographers and Photogrammetrists
21-1015,Rehabilitation Counselors
39-3030,"Ushers, Lobby Attendants, and Ticket Takers"
51-0000,Production Occupations
19-1042,"Medical Scientists, Except Epidemiologists"
39-2021,Animal Caretakers
33-2000,Firefighting and Prevention Workers
17-1022,Surveyors
43-5020,Couriers and Messengers
43-9030,Desktop Publishers
47-2131,"Insulation Workers, Floor, Ceiling, and Wall"
51-3092,Food Batchmakers
